Data,BTC,ETH,XRP,USDT,BCH,BSV,LTC,BNB,EOS,XTZ,ADA,CRO,LINK,XLM,LEO
2020-06-01,50518.54815424235,1239.7879315168389,1.0847028182242398,5.342268358929848,1277.3370799288011,1040.5394888771614,244.17388959147263,91.14653869844066,14.28409193424582,14.9671052255435,0.39729057929107325,0.45546463413637023,22.096914982033812,0.37769415270173606,6.364185331988354
2020-06-02,54581.451961787316,1331.5032334255263,1.131962772761366,5.419228816134691,1361.0086953265711,1067.096375232505,259.39938873784547,95.89541698885158,15.113731190183394,15.93978246227262,0.4334486298941068,0.5091514729337576,23.598667778443637,0.40634510434895327,6.393920220233108
2020-06-03,49484.02568693903,1233.8982973291975,1.057249199118082,5.193344049736779,1304.0212276928514,1020.2697725803191,239.6220611156399,89.86017177521047,13.88421970779235,15.071223156787434,0.40802936771790976,0.46884430532867877,22.837843526138723,0.4130518956726993,6.204899605632574
2020-06-04,48835.7177481451,1236.0554043241343,1.0309925971532934,5.060396425187626,1278.5980063867257,984.2240674742155,238.2818642905391,88.76853902772584,13.6429992304386,15.359082071573503,0.4283556142924297,0.48592729495893455,22.724192145141103,0.41850729513224194,6.051403334409216
2020-06-05,50040.47263376847,1247.442854187865,1.0485444160880624,5.118188488104363,1329.417522659618,1002.7315211250389,242.91631523179547,90.94611361899801,13.95181150733985,15.402955786583433,0.4483544596166529,0.5101678766107934,22.864424612313037,0.4206526861644802,6.3072684101016305
2020-06-06,47851.65846304912,1192.9290267264143,1.0086698318739367,4.957892781910073,1273.7271592483278,963.5182078345455,232.77332498214594,87.60393996014697,13.954312227343891,14.544184717283384,0.42314871042083996,0.49776494801536497,21.697840435711907,0.39263288958602377,6.08712538272748
2020-06-07,47980.229193723535,1201.7410296852986,1.0090226222876886,4.961125520349597,1253.8627090105992,966.1784856386913,232.14662569586102,87.11461908062296,13.893709559568583,14.519539858677877,0.4279024799632,0.5189092951880443,21.592262030160104,0.396311361090018,6.191671597302185
2020-06-08,48313.21125322663,1211.6088789434964,1.0067451313052573,4.96003881099905,1255.7411266297106,954.8970697897439,231.10949203792896,86.249889554714,13.921291740187796,14.302530154982094,0.42865045258777157,0.5354275325420461,21.547973608801154,0.390078952209282,6.164455751577456
2020-06-09,47137.27594756054,1187.533496221766,0.9841915919952413,4.824750259168112,1229.2667377690336,926.3532015613142,223.8041065654228,83.8870294993755,13.441999142997052,14.198576468075089,0.4169901590538956,0.5248788374943495,21.51448973691585,0.38513127341683684,6.01567444348107
2020-06-10,47861.256153207025,1194.9358354522992,0.9861986957903772,4.897011022392762,1247.2478822313876,929.3213940611889,224.90801431644408,85.05260421479748,13.482800608317866,14.220388849336912,0.4073143399123929,0.5744277592789007,21.73895452033696,0.38335559877352393,6.111010463585432
