Data,BTC,ETH,XRP,USDT,BCH,LTC,EOS,BNB,BSV,XMR,XLM,TRX,ADA,XTZ,LEO
2020-01-01,28924.295609858014,519.3252640980618,0.7758270301460861,4.017422142855445,822.3320620167184,166.1465724849514,10.396453059632323,55.139464678935,390.92205651931295,179.23631380326353,0.181067860289455,0.053443551729260005,0.1323049341301647,5.434396909597612,3.285712292508265
2020-01-02,28916.72844504456,524.5091579348846,0.7740152465734227,4.017720589877075,821.4187033400432,167.24486735240103,10.453109326600188,55.013208546687906,390.8359888101485,184.02414524108912,0.1821368125440586,0.053057748377867205,0.13410519069655388,5.5121259531338715,3.296418479971656
2020-01-03,28028.813364448095,511.3444589716853,0.75440036581121,4.025132386736551,787.5708588611318,158.63665645589865,9.88852305586908,52.35646286619919,374.5229830059585,182.50097856418975,0.1760296908738433,0.05169870865108853,0.13129338959662623,4.984895341937821,3.3492831097697375
2020-01-04,29689.05091649878,543.7419314014788,0.7820421633193867,4.061356185326947,901.2901225453762,170.76919157244086,10.69921229977002,55.321801109251254,415.61700189867315,206.80175904376796,0.18548396312731322,0.05437653325518157,0.13813850459846233,5.1878415919561816,3.4235427539191727
2020-01-05,29896.58019981799,545.5078745556459,0.7841263808075767,4.065151701904655,912.9457851245763,173.98346825511078,10.769618328661325,56.09977856348587,444.36494941229506,204.53969974307225,0.18586519520103947,0.05464804444816986,0.13948436934714786,5.084653024332663,3.450919217354532
2020-01-06,29850.118892229097,548.2927645642097,0.7871347954462142,4.057491913683962,904.2980050896833,175.55722642955928,10.883023787000742,56.88341646510705,447.23567418130386,217.68166824577008,0.18416730322592756,0.05487512281344605,0.1398167547212073,5.078455729925001,3.447634356851585
2020-01-07,31418.25194511981,584.1415884959121,0.8890474091692122,4.0546184793437305,990.2433010182397,185.61314890173765,11.58555236313009,60.52584904872304,477.01782574078885,238.96805816983138,0.2032455818876172,0.058779769845488744,0.15028837563300515,5.274779138384862,3.522029635652501
2020-01-08,33142.05570365728,581.774446567511,0.8705828938682757,4.0582683732613685,988.3422293895607,188.45021270817833,11.586643533748617,60.8929983489583,463.91649074426914,238.35587516378266,0.19759320712447973,0.05841829226093229,0.15050988100994306,5.2856905448480855,3.5880751030483853
2020-01-09,32701.305317995695,570.1285408835755,0.8443608238463037,4.050323688424476,974.6954040693092,183.72063886197813,11.24768541762542,58.93011171407253,462.53345557353464,240.9364056610208,0.19260139727606432,0.05673949851441761,0.14723370925277654,5.382952905122037,3.6343631522113906
2020-01-10,32064.332247625007,564.3459854760855,0.8332905906607063,4.091468986825031,974.9464158670157,183.7837460215704,11.252218189263143,58.9576658444714,478.960692604752,240.84960317323802,0.19305979227788786,0.05729255749595394,0.14764851184057234,5.244373489845734,3.5268956231172885
