Data,BTC,ETH,USDT,XRP,LTC,BCH,BNB,LINK,ADA,DOT,USDC,XLM,BSV,WBTC,XMR
2022-01-02,266397.71355857444,21061.27383064273,5.602630731916942,4.741173512464536,841.7435276055653,2480.4151600410014,2946.4692172403898,114.63000007491667,7.679508884290044,159.5699602743079,5.598967906543414,1.5467427818630304,683.1970758226219,266116.24936524313,1397.4619212061057
2022-01-03,264416.04733617057,21401.137599125123,5.582600554001226,4.797925937642788,845.3943488874321,2497.4636431686745,2966.532218266183,121.98449842964595,7.697494357275001,166.09495876664943,5.581733182456468,1.630293351993216,693.7647816265351,264322.5359509144,1334.5545768235509
2022-01-04,264408.5548258792,21419.26663170879,5.687871947979707,4.741811629830361,844.863632618062,2473.3152151617815,2916.414695189182,134.25199135234385,7.523202854179167,171.33402626916305,5.687112793518437,1.6550056829681925,695.6989648059645,264433.9955027832,1315.5432817347903
2022-01-05,260817.72660513798,21545.970399458263,5.67012514476705,4.684840040479392,833.0366259198908,2422.2429589009103,2888.7227555912305,134.6422993896315,7.448118083322912,163.83060547143265,5.676508694772793,1.5920095544341926,689.2464637140373,260684.177108002,1270.0737952426534
2022-01-06,249190.29455306273,20307.089033517022,5.7264668857700185,4.434829994794637,776.0798113659649,2299.771916927096,2720.8848383148365,145.89352431713763,7.07671232801116,153.50867013245735,5.718020460846036,1.5357246274520036,656.6447914763651,249216.55763280383,1186.3393155997833
2022-01-07,245638.02947382306,19420.897350372044,5.690558356658254,4.4511896049978565,775.9101099014224,2279.176820430853,2698.631285705286,144.26468559277157,7.273169571740393,152.43145163012795,5.687297459081307,1.5288731801994502,634.3720410227797,245452.48701799894,1155.7624128692385
2022-01-08,234038.97709293777,18044.67386211022,5.647605897392253,4.308090874052464,740.6894179049104,2177.2111855501385,2528.100623960432,146.97049459250584,6.844619171053212,140.7068633270077,5.648239740604354,1.4546645877754567,622.0337289986287,236882.79339641775,1098.3790209993854
2022-01-09,235332.1975254766,17476.846313317015,5.622798713721959,4.221022386855904,731.1314585317053,2106.9328915704755,2428.6320384008077,143.9604107113573,6.698860282516455,135.55109533970904,5.63243511655567,1.459816491912266,606.5769946665376,235166.96926393337,1042.1034966797943
2022-01-10,235922.28448656344,17791.613062465265,5.632711040911161,4.259281479200544,739.3269172892057,2126.350833615819,2474.940064784414,155.42612397093535,6.621793356622847,138.92665932013585,5.639009905972619,1.4725422522731537,614.6094958986184,236345.4872861372,1074.2232452757016
2022-01-11,237129.94676134625,17481.689705311754,5.669709562240811,4.196866983905842,718.2735035893018,2066.0836250288185,2408.7481675352883,158.11376327228496,6.403846755775387,134.64016484915385,5.667551585048576,1.438442647713247,605.9407114632063,237036.20832258253,1037.2785174846588
