Data,BTC,ETH,USDT,XRP,LTC,BCH,BNB,LINK,ADA,DOT,USDC,XLM,BSV,WBTC,XMR
2021-01-01,150730.83217785193,3836.0809299864463,5.193770397675597,1.145368063797555,648.1545175648345,1784.1029835716442,194.2125482825453,58.44471448867568,0.9456046358307472,48.61748212760424,5.201341624133275,0.6679603776847395,852.2086037896274,150526.65282087217,813.9433440796322
2021-01-02,152437.33528130766,3791.9471966966644,5.203748405295753,1.2331044581016628,654.2716523942364,1772.2209431186038,196.8666302836119,61.5687084240878,0.9123691337692428,43.153956866845256,5.190713865045875,0.6873107913086532,845.7117994940385,152509.00916633158,706.2982942729599
2021-01-03,167039.60841916967,4038.8867455494933,5.209606053082978,1.1522595704608163,715.1481056960796,1842.6786817139578,199.1190212429568,63.43949668805457,0.9253857325115812,47.89916161755786,5.2069093805680735,0.6670734187259189,848.041804798841,166778.20702404025,745.1575311153832
2021-01-04,171720.01550746025,5030.665884386339,5.20609185719525,1.1738388087465967,829.7494875360622,2182.386649816478,213.68004677203962,71.01068977984987,1.0666734360859298,53.4771656436796,5.184464282319543,0.7073492159539209,879.5920484528789,173145.05097268746,717.8526244923332
2021-01-05,165548.16899525994,5387.661928552196,5.251356317191648,1.2324273816990525,798.799691887886,2087.774146874029,209.92118967038707,69.9303527957961,1.149799360627266,48.63842032225772,5.152539770230841,0.8574160363563341,865.4324400443325,164762.72478661724,687.4835969718446
2021-01-06,180144.90829282856,5831.910374776289,5.300521586293635,1.1982403699416295,840.7465806618764,2218.286955807343,220.4096667993099,77.04148370943207,1.37009308274874,51.47750598635261,5.2854272252114995,1.0338043185684023,891.3285798386324,180372.75494972366,723.9514468879935
2021-01-07,196279.49941771544,6422.85147356368,5.356523791436338,1.3412756690248937,899.6366431055574,2416.621543382957,224.1723880160639,91.05573604772458,1.7635356695496254,53.66313403978316,5.315769624384946,1.810754917432898,957.3118136802843,195995.08563030482,756.3149284555724
2021-01-08,213974.99546686266,6652.22544640026,5.417176537653859,1.7606149687625596,921.7862797602654,2437.654050995848,234.81904709304254,86.87481250209366,1.6261288757348624,52.19173897341874,5.43102441956679,1.6992705917122215,955.6698536006825,212958.58917077596,775.4769756654744
2021-01-09,221140.88132921225,6630.167451499431,5.431953103930512,1.742005746173838,938.0513673904943,2373.3120771665267,230.08447277821222,82.83703911698272,1.6684607978308577,50.4672107071072,5.425556190739406,1.6423635316622458,977.1225118042222,220267.0978719684,772.2530410625317
2021-01-10,218224.24095907842,6947.924572085209,5.443772949751561,1.7825989760880268,963.3694923342498,3170.923830673714,238.33153446133062,95.77160381355374,1.8037272278554473,52.95459260253159,5.408157222753169,1.689515100372276,1554.9317402832498,218887.71952622518,800.3028606509838
2021-01-11,208064.759081386,6869.390600225317,5.429732852654768,1.726854287847048,928.5558426082341,3278.7530260131543,230.74833880549684,88.15486512265045,1.65926888074635,50.55280857882928,5.428267317229654,1.56861094177829,1370.6429391275287,208226.60127206013,1010.8377363525651
